#1=α 2=αD 3=σ 4=dq 5=qh 6=dp 7=dph 8=pd 9=dpdh 10=m 11=mh 
2.0 0.00571901 sign 0.003935295336160741 20553.95803888757 0.039332260980954985 0.6539290812903895 130.1331324272841 55.89203793336566 7.668455318551547e-7 0.00018435946066673592
1.5 0.005171009999999999 sign 0.004721569439286011 19037.771134919923 0.04757713393872121 0.6576679546016541 142.03865357391905 61.68245729004008 9.272874641049741e-7 0.00018589536942457187
1.0 0.0043420099999999994 sign 0.005903393619342569 18267.395847173597 0.06031351506057079 0.6635201759883271 165.71678653134524 73.20960892308251 1.1732880427491107e-6 0.0001882729462210906
0.9 0.00412301 sign 0.006216146823793916 18306.06861454364 0.0637571770173389 0.6651187154814738 173.5491129213113 77.02767139058821 1.2375214762207872e-6 0.00018863089831219613
0.85 0.00400401 sign 0.0063849704299693485 18371.44921756429 0.06563354263000445 0.6659925638687528 178.16268941644694 79.27653967014278 1.2791062117266847e-6 0.00018983811036164903
0.8 0.00387801 sign 0.006563077342940366 18474.602014361837 0.06762649258591956 0.6669229190070526 183.3546969506891 81.80751754057255 1.316281127573394e-6 0.00019007968979599973
0.75 0.0037450099999999996 sign 0.006752287769055025 18617.31187294709 0.06975296338888794 0.6679182642973366 189.21075950085202 84.66436229864648 1.3533962779402802e-6 0.00018998999660280077
0.7 0.00360401 sign 0.006953148392955171 18811.31200434366 0.0720245447410951 0.6689844970343192 195.8879098003048 87.92317988353503 1.4033937449360707e-6 0.00019134690720873886
0.65 0.00345401 sign 0.007166380313693314 19070.718786049274 0.07445515449117511 0.6701287174805489 203.5864836774733 91.68141971483637 1.4499980087505075e-6 0.000191850768243092
0.6 0.00329401 sign 0.007392952269807212 19413.01847817402 0.07706173380631699 0.6713595942129108 212.56733773273496 96.06640940509689 1.4993692659594598e-6 0.00019233852446039055
0.55 0.00312301 sign 0.0076341938242973206 19860.540766867278 0.07986524343732668 0.6726878898858041 223.1779927089684 101.24834015112151 1.5512321226155811e-6 0.00019274214593134427
0.5 0.00294001 sign 0.007891976512355394 20442.71389345413 0.0828921453831173 0.6741272462906448 235.89357356779254 107.46065218742696 1.6145979005722453e-6 0.00019410540749023966
0.45 0.00274401 sign 0.008169015805716029 21199.622935892818 0.08617670514911178 0.6756954089809204 251.38330210069913 115.03324298231797 1.6733925272313269e-6 0.00019439783850352097
0.4 0.00253301 sign 0.00846632172108989 22203.968178453386 0.08974860956201669 0.6774080222448375 270.72633885118995 124.49327122552694 1.7474483334219335e-6 0.00019592451306757165
0.35 0.0023050099999999997 sign 0.008785546196718402 23565.385309441044 0.09364639345268475 0.6792854463425048 295.59365683093984 136.65878382315708 1.8186108808130014e-6 0.00019655336905453127
0.3 0.00205801 sign 0.00912953181425246 25460.202614445418 0.09792209530285806 0.6813552652103145 328.7290666881557 152.87581405914756 1.9007658955353605e-6 0.00019775906466639947
